fecha,valor
2022-09-30,945.21
2022-10-03,939.85
2022-10-04,936.14
2022-10-05,928.06
2022-10-06,930.67
2022-10-07,925.96
2022-10-11,922.82
2022-10-12,910.75
2022-10-13,904.12
2022-10-14,925.59
2022-10-17,924.47
2022-10-18,952.3
2022-10-19,957.57
2022-10-20,955.7
2022-10-21,951.25
2022-10-24,962.7
2022-10-25,971.38
2022-10-26,967.06
2022-10-27,959.62
2022-10-28,943.61
2022-11-02,931.04
2022-11-03,925.94
2022-11-04,924.97
2022-11-07,924.7
2022-11-08,921.79
2022-11-09,914.94
2022-11-10,907.41
2022-11-11,906.87
2022-11-14,916.89
2022-11-15,929.68
2022-11-16,922.63
2022-11-17,930.77
2022-11-18,952.48
2022-11-21,960.81
2022-11-22,968.86
2022-11-23,961.24
2022-11-24,958.27
2022-11-25,948.77
2022-11-28,952.78
2022-11-29,950.88
2022-11-30,936.12
2022-12-01,924.02
2022-12-02,930.24
2022-12-05,928.58
2022-12-06,931.34
2022-12-07,927.89
2022-12-09,924.04
2022-12-12,907.71
2022-12-13,905.49
2022-12-14,911.48
2022-12-15,919.78
2022-12-16,929.17
2022-12-19,940.54
2022-12-20,943.56
2022-12-21,944.93
2022-12-22,931.95
2022-12-23,917.57
2022-12-26,930.86
2022-12-27,934.31
2022-12-28,932.81
2022-12-29,910.57
2022-12-30,916.91
2023-01-03,915.95
2023-01-04,898.88
2023-01-05,907.17
2023-01-06,901.28
2023-01-09,898.97
2023-01-10,899.43
2023-01-11,895.52
2023-01-12,886.77
2023-01-13,890.73
2023-01-16,892.23
2023-01-17,888.78
2023-01-18,884.96
2023-01-19,876.81
2023-01-20,896.52
2023-01-23,890.19
2023-01-24,884.04
2023-01-25,876.44
2023-01-26,875.66
2023-01-27,871.52
2023-01-30,872.41
2023-01-31,880.07
2023-02-01,873.08
2023-02-02,864.13
2023-02-03,853.62
2023-02-06,854.23
2023-02-07,862.49
2023-02-08,855.22
2023-02-09,851.52
2023-02-10,856.66
2023-02-13,854.53
2023-02-14,850.98
2023-02-15,846.46
2023-02-16,845.37
2023-02-17,848.76
2023-02-20,846.87
2023-02-21,846.1
2023-02-22,850.03
2023-02-23,849.63
2023-02-24,849.57
2023-02-27,863.85
2023-02-28,880.64
2023-03-01,879.86
2023-03-02,869.68
2023-03-03,862.52
2023-03-06,859.08
2023-03-07,858.0
2023-03-08,844.46
2023-03-09,846.65
2023-03-10,847.04
2023-03-13,850.06
2023-03-14,862.85
2023-03-15,859.04
2023-03-16,862.99
2023-03-17,874.87
2023-03-20,886.31
2023-03-21,885.98
2023-03-22,884.34
2023-03-23,883.81
2023-03-24,875.35
2023-03-27,873.4
2023-03-28,870.38
2023-03-29,866.95
2023-03-30,858.45
2023-03-31,859.92
2023-04-03,858.02
2023-04-04,873.23
2023-04-05,887.5
2023-04-06,883.27
2023-04-10,890.41
2023-04-11,891.76
2023-04-12,885.32
2023-04-13,882.88
2023-04-14,879.35
2023-04-17,876.42
2023-04-18,875.22
2023-04-19,872.44
2023-04-20,873.16
2023-04-21,868.12
2023-04-24,874.1
2023-04-25,899.98
2023-04-26,892.83
2023-04-27,888.65
2023-04-28,883.61
2023-05-02,885.28
2023-05-03,889.62
2023-05-04,891.53
2023-05-05,881.85
2023-05-08,876.44
2023-05-09,873.44
2023-05-10,869.12
2023-05-11,864.96
2023-05-12,869.22
2023-05-15,854.04
2023-05-16,851.84
2023-05-17,863.33
2023-05-18,864.22
2023-05-19,857.06
2023-05-22,861.81
2023-05-23,865.69
2023-05-24,864.0
2023-05-25,870.49
2023-05-26,867.82
2023-05-29,862.69
2023-05-30,859.19
2023-05-31,861.67
